,Model,Precision,Recall,F1,Errors,Accuracy
0,bio_esp,0.7558194774346794,0.7313261319236957,0.7433711015068333,2183,0.9587513935340022
1,bio_ned,0.7582636399840701,0.72782874617737,0.742734542617515,1048,0.9721920025472974
0,io_esp,0.752188909525073,0.7284172661870504,0.7401122568855242,2203,0.9584868582657824
1,io_ned,0.7489858012170385,0.7333664349553128,0.7410938283993979,902,0.9720858651524399
0,biow_esp,0.7532005689900427,0.7301769708113077,0.7415100945267826,2162,0.9586002305235909
1,biow_ned,0.7589106928313977,0.724388379204893,0.7412477997261882,1053,0.9713694377371508
